model_version,checkpoint,metric_type,mean,std,min,max,count
train_nam,checkpoint-100,approach,2.5,1.508,0.0,4.0,12
train_nam,checkpoint-100,format,2.917,1.24,0.0,4.0,12
train_nam,checkpoint-100,logic,2.583,1.379,0.0,4.0,12
train_nam,checkpoint-100,tone,1.917,1.311,0.0,4.0,12
train_nam,checkpoint-300,approach,3.5,0.522,3.0,4.0,12
train_nam,checkpoint-300,format,3.667,0.778,2.0,4.0,12
train_nam,checkpoint-300,logic,3.417,0.9,1.0,4.0,12
train_nam,checkpoint-300,tone,3.333,0.492,3.0,4.0,12
train_nam,checkpoint-500,approach,3.583,0.9,1.0,4.0,12
train_nam,checkpoint-500,format,4.0,0.0,4.0,4.0,12
train_nam,checkpoint-500,logic,3.667,0.651,2.0,4.0,12
train_nam,checkpoint-500,tone,3.333,0.778,2.0,4.0,12
train_nam,checkpoint-700,approach,3.5,0.798,2.0,4.0,12
train_nam,checkpoint-700,format,4.0,0.0,4.0,4.0,12
train_nam,checkpoint-700,logic,3.333,0.888,2.0,4.0,12
train_nam,checkpoint-700,tone,3.333,0.651,2.0,4.0,12
train_nam,checkpoint-990,approach,3.667,0.492,3.0,4.0,12
train_nam,checkpoint-990,format,3.833,0.389,3.0,4.0,12
train_nam,checkpoint-990,logic,3.583,0.669,2.0,4.0,12
train_nam,checkpoint-990,tone,3.333,0.651,2.0,4.0,12
train_yam,checkpoint-100,approach,2.75,1.215,1.0,4.0,12
train_yam,checkpoint-100,format,2.5,1.168,1.0,4.0,12
train_yam,checkpoint-100,logic,2.917,1.084,1.0,4.0,12
train_yam,checkpoint-100,tone,2.167,0.577,1.0,3.0,12
train_yam,checkpoint-300,approach,3.667,0.492,3.0,4.0,12
train_yam,checkpoint-300,format,3.667,0.492,3.0,4.0,12
train_yam,checkpoint-300,logic,3.833,0.389,3.0,4.0,12
train_yam,checkpoint-300,tone,3.5,0.798,2.0,4.0,12
train_yam,checkpoint-500,approach,3.583,0.515,3.0,4.0,12
train_yam,checkpoint-500,format,3.417,0.996,1.0,4.0,12
train_yam,checkpoint-500,logic,3.583,0.669,2.0,4.0,12
train_yam,checkpoint-500,tone,3.583,0.515,3.0,4.0,12
train_yam,checkpoint-700,approach,3.75,0.452,3.0,4.0,12
train_yam,checkpoint-700,format,3.417,0.515,3.0,4.0,12
train_yam,checkpoint-700,logic,3.833,0.389,3.0,4.0,12
train_yam,checkpoint-700,tone,3.333,0.651,2.0,4.0,12
train_yam,checkpoint-990,approach,3.5,0.522,3.0,4.0,12
train_yam,checkpoint-990,format,3.75,0.622,2.0,4.0,12
train_yam,checkpoint-990,logic,3.583,0.515,3.0,4.0,12
train_yam,checkpoint-990,tone,3.75,0.622,2.0,4.0,12
