model_version,checkpoint,metric_type,mean,std,min,max,count
attention-tuned,checkpoint-100,approach,3.0,0.973,1.0,4.0,20
attention-tuned,checkpoint-100,format,2.7,1.031,1.0,4.0,20
attention-tuned,checkpoint-100,logic,3.15,0.988,1.0,4.0,20
attention-tuned,checkpoint-100,tone,2.5,0.946,1.0,4.0,20
attention-tuned,checkpoint-300,approach,3.55,0.759,1.0,4.0,20
attention-tuned,checkpoint-300,format,3.8,0.41,3.0,4.0,20
attention-tuned,checkpoint-300,logic,3.55,0.826,1.0,4.0,20
attention-tuned,checkpoint-300,tone,3.2,0.894,1.0,4.0,20
attention-tuned,checkpoint-500,approach,3.3,0.865,1.0,4.0,20
attention-tuned,checkpoint-500,format,3.45,0.945,1.0,4.0,20
attention-tuned,checkpoint-500,logic,3.1,1.071,1.0,4.0,20
attention-tuned,checkpoint-500,tone,3.3,0.657,2.0,4.0,20
attention-tuned,checkpoint-700,approach,3.7,0.571,2.0,4.0,20
attention-tuned,checkpoint-700,format,3.6,0.598,2.0,4.0,20
attention-tuned,checkpoint-700,logic,3.55,0.686,2.0,4.0,20
attention-tuned,checkpoint-700,tone,3.3,0.865,1.0,4.0,20
attention-tuned,checkpoint-990,approach,3.6,0.503,3.0,4.0,20
attention-tuned,checkpoint-990,format,3.6,0.883,1.0,4.0,20
attention-tuned,checkpoint-990,logic,3.55,0.605,2.0,4.0,20
attention-tuned,checkpoint-990,tone,3.4,0.754,1.0,4.0,20
base,base,approach,3.7,0.47,3.0,4.0,20
base,base,format,2.95,0.887,1.0,4.0,20
base,base,logic,3.65,0.587,2.0,4.0,20
base,base,tone,2.15,0.489,1.0,3.0,20
standard-tuned,checkpoint-100,approach,2.6,1.273,0.0,4.0,20
standard-tuned,checkpoint-100,format,2.9,1.252,0.0,4.0,20
standard-tuned,checkpoint-100,logic,2.9,0.912,1.0,4.0,20
standard-tuned,checkpoint-100,tone,2.1,1.021,1.0,4.0,20
standard-tuned,checkpoint-300,approach,3.55,0.605,2.0,4.0,20
standard-tuned,checkpoint-300,format,3.75,0.716,1.0,4.0,20
standard-tuned,checkpoint-300,logic,3.55,0.759,1.0,4.0,20
standard-tuned,checkpoint-300,tone,3.25,0.55,2.0,4.0,20
standard-tuned,checkpoint-500,approach,3.6,0.754,1.0,4.0,20
standard-tuned,checkpoint-500,format,3.9,0.308,3.0,4.0,20
standard-tuned,checkpoint-500,logic,3.7,0.571,2.0,4.0,20
standard-tuned,checkpoint-500,tone,3.25,0.716,2.0,4.0,20
standard-tuned,checkpoint-700,approach,3.6,0.681,2.0,4.0,20
standard-tuned,checkpoint-700,format,3.65,0.813,1.0,4.0,20
standard-tuned,checkpoint-700,logic,3.5,0.827,1.0,4.0,20
standard-tuned,checkpoint-700,tone,3.5,0.513,3.0,4.0,20
standard-tuned,checkpoint-990,approach,3.55,0.605,2.0,4.0,20
standard-tuned,checkpoint-990,format,3.9,0.308,3.0,4.0,20
standard-tuned,checkpoint-990,logic,3.6,0.681,2.0,4.0,20
standard-tuned,checkpoint-990,tone,3.4,0.598,2.0,4.0,20
