QUESTION_ID,model_version,checkpoint,dialogue
11,attention-tuned,checkpoint-100,
12,attention-tuned,checkpoint-100,
13,attention-tuned,checkpoint-100,
14,attention-tuned,checkpoint-100,
15,attention-tuned,checkpoint-100,
16,attention-tuned,checkpoint-100,
17,attention-tuned,checkpoint-100,
18,attention-tuned,checkpoint-100,
19,attention-tuned,checkpoint-100,
20,attention-tuned,checkpoint-100,
11,attention-tuned,checkpoint-300,
12,attention-tuned,checkpoint-300,
13,attention-tuned,checkpoint-300,
14,attention-tuned,checkpoint-300,
15,attention-tuned,checkpoint-300,
16,attention-tuned,checkpoint-300,
17,attention-tuned,checkpoint-300,
18,attention-tuned,checkpoint-300,
19,attention-tuned,checkpoint-300,
20,attention-tuned,checkpoint-300,
11,attention-tuned,checkpoint-500,
12,attention-tuned,checkpoint-500,
13,attention-tuned,checkpoint-500,
14,attention-tuned,checkpoint-500,
15,attention-tuned,checkpoint-500,
16,attention-tuned,checkpoint-500,
17,attention-tuned,checkpoint-500,
18,attention-tuned,checkpoint-500,
19,attention-tuned,checkpoint-500,
20,attention-tuned,checkpoint-500,
11,attention-tuned,checkpoint-700,
12,attention-tuned,checkpoint-700,
13,attention-tuned,checkpoint-700,
14,attention-tuned,checkpoint-700,
15,attention-tuned,checkpoint-700,
16,attention-tuned,checkpoint-700,
17,attention-tuned,checkpoint-700,
18,attention-tuned,checkpoint-700,
19,attention-tuned,checkpoint-700,
20,attention-tuned,checkpoint-700,
11,attention-tuned,checkpoint-990,
12,attention-tuned,checkpoint-990,
13,attention-tuned,checkpoint-990,
14,attention-tuned,checkpoint-990,
15,attention-tuned,checkpoint-990,
16,attention-tuned,checkpoint-990,
17,attention-tuned,checkpoint-990,
18,attention-tuned,checkpoint-990,
19,attention-tuned,checkpoint-990,
20,attention-tuned,checkpoint-990,
11,standard-tuned,checkpoint-100,
12,attention-tuned,checkpoint-100,
13,attention-tuned,checkpoint-100,
14,attention-tuned,checkpoint-100,
15,attention-tuned,checkpoint-100,
16,attention-tuned,checkpoint-100,
17,attention-tuned,checkpoint-100,
18,attention-tuned,checkpoint-100,
19,attention-tuned,checkpoint-100,
20,attention-tuned,checkpoint-100,
11,attention-tuned,checkpoint-300,
12,attention-tuned,checkpoint-300,
13,attention-tuned,checkpoint-300,
14,attention-tuned,checkpoint-300,
15,attention-tuned,checkpoint-300,
16,attention-tuned,checkpoint-300,
17,attention-tuned,checkpoint-300,
18,attention-tuned,checkpoint-300,
19,attention-tuned,checkpoint-300,
20,attention-tuned,checkpoint-300,
11,attention-tuned,checkpoint-500,
12,attention-tuned,checkpoint-500,
13,attention-tuned,checkpoint-500,
14,attention-tuned,checkpoint-500,
15,attention-tuned,checkpoint-500,
16,attention-tuned,checkpoint-500,
17,attention-tuned,checkpoint-500,
18,attention-tuned,checkpoint-500,
19,attention-tuned,checkpoint-500,
20,attention-tuned,checkpoint-500,
11,attention-tuned,checkpoint-700,
12,attention-tuned,checkpoint-700,
13,attention-tuned,checkpoint-700,
14,attention-tuned,checkpoint-700,
15,attention-tuned,checkpoint-700,
16,attention-tuned,checkpoint-700,
17,attention-tuned,checkpoint-700,
18,attention-tuned,checkpoint-700,
19,attention-tuned,checkpoint-700,
20,attention-tuned,checkpoint-700,
11,attention-tuned,checkpoint-990,
12,attention-tuned,checkpoint-990,
13,attention-tuned,checkpoint-990,
14,attention-tuned,checkpoint-990,
15,attention-tuned,checkpoint-990,
16,attention-tuned,checkpoint-990,
17,attention-tuned,checkpoint-990,
18,attention-tuned,checkpoint-990,
19,attention-tuned,checkpoint-990,
20,attention-tuned,checkpoint-990,
