QUESTION_ID,model_version,checkpoint,dialogue,tone_pair1,approach_pair1,format_pair1,logic_pair1,tone_pair2,approach_pair2,format_pair2,logic_pair2
1,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_76_20250212_204208.json,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
2,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_77_20250212_204228.json,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0
3,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_78_20250212_204250.json,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
4,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_79_20250212_204311.json,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0
5,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_80_20250212_204332.json,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0
6,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_81_20250212_204351.json,3.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0
1,attention-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_76_20250212_204407.json,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
2,attention-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_77_20250212_204427.json,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
3,attention-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_78_20250212_204445.json,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4,attention-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_79_20250212_204500.json,3.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0
5,attention-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_80_20250212_204514.json,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
6,attention-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_81_20250212_204528.json,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
1,attention-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_76_20250212_204541.json,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0
2,attention-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_77_20250212_204604.json,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0
3,attention-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_78_20250212_204622.json,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0
4,attention-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_79_20250212_204640.json,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
5,attention-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_80_20250212_204653.json,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
6,attention-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_81_20250212_204707.json,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0
1,attention-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_76_20250212_204722.json,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
2,attention-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_77_20250212_204743.json,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
3,attention-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_78_20250212_204802.json,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
4,attention-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_79_20250212_204821.json,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
5,attention-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_80_20250212_204838.json,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
6,attention-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_81_20250212_204857.json,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
1,attention-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_76_20250212_204921.json,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0
2,attention-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_77_20250212_204936.json,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
3,attention-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_78_20250212_204950.json,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
4,attention-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_79_20250212_205005.json,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5,attention-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_80_20250212_205022.json,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
6,attention-tuned,checkpoint-990,dialogue_attention-tuned_checkpoint-990_81_20250212_205038.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
1,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_76_20250212_205054.json,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
2,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_77_20250212_205107.json,2.0,3.0,4.0,2.0,1.0,2.0,4.0,3.0
3,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_78_20250212_205122.json,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0
4,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_79_20250212_205140.json,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_80_20250212_205153.json,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0
6,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_81_20250212_205213.json,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0
1,standard-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_76_20250212_205236.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
2,standard-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_77_20250212_205312.json,3.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0
3,standard-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_78_20250212_205338.json,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0
4,standard-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_79_20250212_205400.json,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
5,standard-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_80_20250212_205436.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
6,standard-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_81_20250212_205459.json,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
1,standard-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_76_20250212_205522.json,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0
2,standard-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_77_20250212_205540.json,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
3,standard-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_78_20250212_205612.json,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
4,standard-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_79_20250212_205632.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
5,standard-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_80_20250212_205705.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
6,standard-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_81_20250212_205731.json,4.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0
1,standard-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_76_20250212_205811.json,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0
2,standard-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_77_20250212_205838.json,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0
3,standard-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_78_20250212_205906.json,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
4,standard-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_79_20250212_205938.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
5,standard-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_80_20250212_210014.json,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
6,standard-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_81_20250212_210046.json,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0
1,standard-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_76_20250212_210110.json,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
2,standard-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_77_20250212_210142.json,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
3,standard-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_78_20250212_210207.json,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
4,standard-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_79_20250212_210231.json,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0
5,standard-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_80_20250212_210302.json,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
6,standard-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_81_20250212_210332.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
7,attention-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_7_20250213_014406.json,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
8,attention-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_8_20250213_014420.json,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
9,attention-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_9_20250213_014448.json,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0
10,attention-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_10_20250213_014502.json,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0
7,attention-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_7_20250213_014525.json,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
8,attention-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_8_20250213_014540.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
9,attention-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_9_20250213_014607.json,3.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0
10,attention-tuned,checkpoint-300,dialogue_standard-tuned_checkpoint-300_10_20250213_014633.json,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0
7,attention-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_7_20250213_014656.json,2.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0
8,attention-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_8_20250213_014729.json,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0
9,attention-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_9_20250213_014748.json,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0
10,attention-tuned,checkpoint-500,dialogue_standard-tuned_checkpoint-500_10_20250213_014817.json,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0
7,attention-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_7_20250213_014840.json,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0
8,attention-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_8_20250213_014904.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0
9,attention-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_9_20250213_014934.json,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0
10,attention-tuned,checkpoint-700,dialogue_standard-tuned_checkpoint-700_10_20250213_015001.json,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0
7,attention-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_7_20250213_015021.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
8,attention-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_8_20250213_015040.json,1.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0
9,attention-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_9_20250213_015110.json,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0
10,attention-tuned,checkpoint-990,dialogue_standard-tuned_checkpoint-990_10_20250213_015144.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
7,standard-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_7_20250213_013905.json,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0
8,standard-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_8_20250213_013918.json,1.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0
9,standard-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_9_20250213_013931.json,1.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0
10,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_10_20250212_212805.json,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0
7,standard-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_7_20250213_013956.json,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
8,standard-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_8_20250213_014015.json,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
9,standard-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_9_20250213_014030.json,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
10,standard-tuned,checkpoint-300,dialogue_attention-tuned_checkpoint-300_10_20250213_014047.json,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0
7,standard-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_7_20250213_014101.json,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8,standard-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_8_20250213_014118.json,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
9,standard-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_9_20250213_014136.json,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
10,standard-tuned,checkpoint-500,dialogue_attention-tuned_checkpoint-500_10_20250213_014154.json,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
7,standard-tuned,checkpoint-700,dialogue_attention-tuned_checkpoint-700_7_20250213_014206.json,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
