step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.75,0.5833333333333331,0.6833333333333332,,,2.542372881355932
40,0.5083333333333333,0.6541666666666665,0.5666666666666667,,,5.0
50,,,,27.0161,7.547169811320755e-05,6.271186440677966
60,0.575,0.5833333333333331,0.5783333333333333,,,7.5423728813559325
80,0.5416666666666666,0.5958333333333331,0.5633333333333332,,,10.0
100,,,,9.5847,6.357611716513103e-05,12.542372881355933
100,0.525,0.5791666666666664,0.5466666666666666,,,12.542372881355933
120,0.55,0.5791666666666664,0.5616666666666665,,,15.0
140,0.55,0.5791666666666664,0.5616666666666665,,,17.54237288135593
150,,,,7.0569,2.5528384204663388e-05,18.8135593220339
160,0.5416666666666666,0.5791666666666664,0.5566666666666665,,,20.0
180,0.55,0.5791666666666664,0.5616666666666665,,,22.54237288135593
200,,,,6.0055,7.981432318121851e-07,25.0
200,0.55,0.5791666666666664,0.5616666666666665,,,25.0
210,,,,,,26.271186440677965
