step,socratic_style,loss,learning_rate,epoch
20,0.04155497835497836,,,0.6060606060606061
40,0.04027414807414807,,,1.2121212121212122
50,,4.7763,1.6129032258064517e-05,1.5151515151515151
60,0.020090268065268067,,,1.8181818181818183
80,0.05204131979131979,,,2.4242424242424243
100,,2.7987,3.2258064516129034e-05,3.0303030303030303
100,0.05690483127983128,,,3.0303030303030303
120,0.049601148851148844,,,3.6363636363636362
140,0.05464828227328227,,,4.242424242424242
150,,2.0796,4.8387096774193554e-05,4.545454545454545
160,0.05973031829281829,,,4.848484848484849
180,0.05820012903762905,,,5.454545454545454
200,,1.8894,6.451612903225807e-05,6.0606060606060606
200,0.05658998917748918,,,6.0606060606060606
220,0.055956424131424126,,,6.666666666666667
240,0.062304309579309575,,,7.2727272727272725
250,,1.7735,7.999856590036024e-05,7.575757575757576
260,0.05656024808524809,,,7.878787878787879
280,0.05229918414918415,,,8.484848484848484
300,,1.6861,7.903445255853865e-05,9.090909090909092
300,0.05994936452436453,,,9.090909090909092
320,0.06220385864135865,,,9.696969696969697
340,0.059019617882117875,,,10.303030303030303
350,,1.5914,7.632749933488894e-05,10.606060606060606
360,0.057216486291486304,,,10.909090909090908
380,0.05890096708846709,,,11.515151515151516
400,,1.5179,7.19985683326863e-05,12.121212121212121
400,0.053414489676989675,,,12.121212121212121
420,0.059158226495726496,,,12.727272727272727
440,0.06936910311910312,,,13.333333333333334
450,,1.4261,6.62409409508438e-05,13.636363636363637
460,0.05026618936618936,,,13.93939393939394
480,0.05890253635253635,,,14.545454545454545
500,,1.3625,5.93116881092298e-05,15.151515151515152
500,0.0638831918081918,,,15.151515151515152
520,0.05381488650238651,,,15.757575757575758
540,0.056826653901653895,,,16.363636363636363
550,,1.2792,5.152019235100984e-05,16.666666666666668
560,0.05393744311244311,,,16.96969696969697
580,0.05105641580641582,,,17.575757575757574
600,,1.2081,4.321433429590455e-05,18.181818181818183
600,0.06547229437229438,,,18.181818181818183
620,0.0537309953934954,,,18.78787878787879
640,0.05285265151515151,,,19.393939393939394
650,,1.1494,3.476496020208886e-05,19.696969696969695
660,0.05648159618159618,,,20.0
680,0.05605546814296814,,,20.606060606060606
700,,1.0891,2.6549324140824664e-05,21.21212121212121
700,0.05896445082695083,,,21.21212121212121
720,0.05439734848484848,,,21.818181818181817
740,0.05077283688533688,,,22.424242424242426
750,,1.0388,1.8934244070188416e-05,22.727272727272727
760,0.05431708291708292,,,23.03030303030303
780,0.05588645798645799,,,23.636363636363637
800,,1.0065,1.2259723868305909e-05,24.242424242424242
800,0.0552644869019869,,,24.242424242424242
820,0.0510005772005772,,,24.848484848484848
840,0.053977491952491956,,,25.454545454545453
850,,0.9764,6.82377258199193e-06,25.757575757575758
860,0.0532396645021645,,,26.060606060606062
880,0.05183684093684094,,,26.666666666666668
900,,0.9637,2.869098692510708e-06,27.272727272727273
900,0.05301182567432568,,,27.272727272727273
920,0.05282116633366634,,,27.87878787878788
940,0.05242482933732934,,,28.484848484848484
950,,0.9449,5.722734829838894e-07,28.78787878787879
960,0.05229387695637696,,,29.09090909090909
980,0.052267091242091245,,,29.696969696969695
990,,,,30.0
