step,loss,learning_rate,epoch
20,,,0.6015037593984962
40,,,1.1804511278195489
50,5.5907,1.6129032258064517e-05,1.481203007518797
60,,,1.781954887218045
80,,,2.3609022556390977
100,4.4678,3.2258064516129034e-05,2.962406015037594
100,,,2.962406015037594
120,,,3.5413533834586466
140,,,4.120300751879699
150,2.8516,4.8387096774193554e-05,4.421052631578947
160,,,4.7218045112781954
180,,,5.3007518796992485
200,2.3928,6.451612903225807e-05,5.902255639097744
200,,,5.902255639097744
220,,,6.481203007518797
240,,,7.06015037593985
250,2.2002,7.999856590036024e-05,7.360902255639098
260,,,7.661654135338345
280,,,8.240601503759398
300,2.0953,7.903445255853865e-05,8.842105263157894
300,,,8.842105263157894
320,,,9.421052631578947
340,,,10.0
350,2.0153,7.632749933488894e-05,10.300751879699249
360,,,10.601503759398497
380,,,11.180451127819548
400,1.958,7.19985683326863e-05,11.781954887218046
400,,,11.781954887218046
420,,,12.360902255639097
440,,,12.962406015037594
450,1.8965,6.62409409508438e-05,13.240601503759398
460,,,13.541353383458647
480,,,14.1203007518797
500,1.8498,5.93116881092298e-05,14.721804511278195
500,,,14.721804511278195
520,,,15.300751879699249
540,,,15.902255639097744
550,1.8021,5.152019235100984e-05,16.18045112781955
560,,,16.481203007518797
580,,,17.06015037593985
600,1.7683,4.321433429590455e-05,17.661654135338345
600,,,17.661654135338345
620,,,18.2406015037594
640,,,18.842105263157894
650,1.7419,3.476496020208886e-05,19.1203007518797
660,,,19.42105263157895
680,,,20.0
700,1.7106,2.6549324140824664e-05,20.601503759398497
700,,,20.601503759398497
720,,,21.18045112781955
740,,,21.781954887218046
750,1.6926,1.8934244070188416e-05,22.06015037593985
760,,,22.360902255639097
780,,,22.962406015037594
800,1.6694,1.2259723868305909e-05,23.541353383458645
800,,,23.541353383458645
820,,,24.1203007518797
840,,,24.721804511278194
850,1.6662,6.82377258199193e-06,25.0
860,,,25.30075187969925
880,,,25.902255639097746
900,1.6527,2.869098692510708e-06,26.481203007518797
900,,,26.481203007518797
920,,,27.06015037593985
940,,,27.661654135338345
950,1.6507,5.722734829838894e-07,27.962406015037594
960,,,28.2406015037594
980,,,28.842105263157894
990,,,29.1203007518797
