step,socratic_style,loss,learning_rate,epoch
20,0.1525,,,0.3018867924528302
40,0.1525,,,0.6037735849056604
50,,4.923,8.08080808080808e-06,0.7547169811320755
60,0.0885,,,0.9056603773584906
80,0.086,,,1.1962264150943396
100,0.15699999999999997,3.2403,1.616161616161616e-05,1.4981132075471697
120,0.2619999999999999,,,1.8
140,0.2729999999999999,,,2.090566037735849
150,,2.2963,2.4242424242424244e-05,2.241509433962264
160,0.26699999999999996,,,2.392452830188679
180,0.2854999999999999,,,2.6943396226415093
200,0.2899999999999999,2.0517,3.232323232323232e-05,2.9962264150943394
220,0.30049999999999993,,,3.2867924528301886
240,0.26349999999999996,,,3.5886792452830187
250,,1.9334,4.040404040404041e-05,3.739622641509434
260,0.29899999999999993,,,3.890566037735849
280,0.2864999999999999,,,4.181132075471698
300,0.2834999999999999,1.8712,4.848484848484849e-05,4.483018867924528
320,0.26249999999999996,,,4.784905660377358
340,0.30649999999999994,,,5.0754716981132075
350,,1.8286,5.656565656565657e-05,5.226415094339623
360,0.29599999999999993,,,5.377358490566038
380,0.2529999999999999,,,5.679245283018868
400,0.24899999999999992,1.7781,6.464646464646465e-05,5.981132075471698
420,0.33349999999999996,,,6.271698113207547
440,0.2129999999999999,,,6.573584905660377
450,,1.7287,7.272727272727273e-05,6.724528301886792
460,0.31499999999999995,,,6.875471698113207
480,0.2689999999999999,,,7.166037735849057
500,0.3004999999999999,1.7016,7.999776224367661e-05,7.467924528301887
520,0.30999999999999994,,,7.769811320754717
540,0.24999999999999992,,,8.060377358490566
550,,1.6619,7.972953430967773e-05,8.211320754716981
560,0.2894999999999999,,,8.362264150943396
580,0.2534999999999999,,,8.664150943396226
600,0.2854999999999999,1.6221,7.90171914754163e-05,8.966037735849056
620,0.2829999999999999,,,9.256603773584906
640,0.2809999999999999,,,9.558490566037737
650,,1.5703,7.786869663480203e-05,9.709433962264152
660,0.2589999999999999,,,9.860377358490567
680,0.2734999999999999,,,10.150943396226415
700,0.2764999999999999,1.5412,7.629688818829578e-05,10.452830188679245
720,0.2814999999999999,,,10.754716981132075
740,0.30899999999999994,,,11.045283018867925
750,,1.5111,7.431933652939909e-05,11.19622641509434
760,0.25299999999999995,,,11.347169811320756
780,0.31549999999999995,,,11.649056603773586
800,0.2804999999999999,1.4767,7.195814763476165e-05,11.950943396226416
820,0.2879999999999999,,,12.241509433962264
840,0.2749999999999999,,,12.543396226415094
850,,1.4256,6.923971595346687e-05,12.69433962264151
860,0.3139999999999999,,,12.845283018867924
880,0.32499999999999996,,,13.135849056603774
900,0.26849999999999996,1.3899,6.619442935781141e-05,13.437735849056605
920,0.25499999999999995,,,13.739622641509435
940,0.26249999999999996,,,14.030188679245283
950,,1.3752,6.28563294537743e-05,14.181132075471698
960,0.2899999999999999,,,14.332075471698113
980,0.25099999999999995,,,14.633962264150943
1000,0.22799999999999992,1.3274,5.926273104838026e-05,14.935849056603773
1020,0.2864999999999999,,,15.226415094339623
1040,0.2849999999999999,,,15.528301886792454
1050,,1.2808,5.5453805027725145e-05,15.679245283018869
1060,0.2799999999999999,,,15.830188679245284
1080,0.25099999999999995,,,16.120754716981132
1100,0.2829999999999999,1.2623,5.1472129308443616e-05,16.422641509433962
1120,0.2674999999999999,,,16.724528301886792
1140,0.2679999999999999,,,17.015094339622642
1150,,1.2251,4.7362212882288815e-05,17.166037735849056
1160,0.2754999999999999,,,17.316981132075473
1180,0.2674999999999999,,,17.618867924528303
1200,0.2849999999999999,1.1959,4.316999827427154e-05,17.920754716981133
1220,0.25499999999999995,,,18.211320754716983
1240,0.29649999999999993,,,18.513207547169813
1250,,1.1556,3.894234797610907e-05,18.664150943396226
1260,0.2644999999999999,,,18.815094339622643
1280,0.2639999999999999,,,19.10566037735849
1300,0.26199999999999996,1.1324,3.472652059586559e-05,19.40754716981132
1320,0.2644999999999999,,,19.70943396226415
1340,0.2804999999999999,,,20.0
1350,,1.1114,3.0569642579622905e-05,20.150943396226417
1360,0.27349999999999997,,,20.30188679245283
1380,0.27049999999999996,,,20.60377358490566
1400,0.25199999999999995,1.084,2.651818141051833e-05,20.90566037735849
1420,0.26899999999999996,,,21.19622641509434
1440,0.2829999999999999,,,21.49811320754717
1450,,1.0548,2.261742617397153e-05,21.649056603773584
1460,0.2754999999999999,,,21.8
1480,0.26299999999999996,,,22.09056603773585
1500,0.2569999999999999,1.0422,1.8910981295579903e-05,22.39245283018868
1520,0.2604999999999999,,,22.69433962264151
1540,0.27599999999999997,,,22.99622641509434
1550,,1.0229,1.5440279110911932e-05,23.135849056603774
1560,0.26599999999999996,,,23.286792452830188
1580,0.26299999999999996,,,23.588679245283018
1600,0.26549999999999996,1.006,1.2244116715915638e-05,23.890566037735848
1620,0.24999999999999992,,,24.181132075471698
1640,0.26249999999999996,,,24.483018867924528
1650,,0.9854,9.358222275240884e-06,24.633962264150945
1660,0.2619999999999999,,,24.78490566037736
1680,0.26099999999999995,,,25.07547169811321
1700,0.2614999999999999,0.9808,6.8148556364785586e-06,25.37735849056604
1720,0.2614999999999999,,,25.67924528301887
1740,0.2669999999999999,,,25.9811320754717
1750,,0.9718,4.642447714833993e-06,26.120754716981132
1760,0.25999999999999995,,,26.27169811320755
1780,0.2589999999999999,,,26.57358490566038
1800,0.2649999999999999,0.9663,2.8652826793570975e-06,26.87547169811321
1820,0.2589999999999999,,,27.166037735849056
1840,0.2614999999999999,,,27.467924528301886
1850,,0.962,1.5032264933971807e-06,27.618867924528303
1860,0.2589999999999999,,,27.769811320754716
1880,0.2639999999999999,,,28.060377358490566
1900,0.2639999999999999,0.9534,5.71504843781181e-07,28.362264150943396
1920,0.2639999999999999,,,28.664150943396226
1940,0.2614999999999999,,,28.966037735849056
1950,,0.9495,8.053294112462696e-08,29.10566037735849
1960,0.2589999999999999,,,29.256603773584906
1980,0.2614999999999999,,,29.558490566037737
