step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.605,0.5874999999999998,0.5979999999999999,,,0.300187617260788
40,0.645,0.5899999999999997,0.6229999999999999,,,0.600375234521576
50,,,,5.2065,8.08080808080808e-06,0.7504690431519699
60,0.715,0.5824999999999998,0.6619999999999999,,,0.900562851782364
80,0.51,0.6499999999999999,0.566,,,1.2101313320825515
100,,,,3.4528,1.616161616161616e-05,1.5103189493433395
100,0.589,0.7299999999999999,0.6454,,,1.5103189493433395
120,0.597,0.6699999999999998,0.6261999999999999,,,1.8105065666041276
140,0.672,0.6724999999999999,0.6721999999999999,,,2.120075046904315
150,,,,2.4508,2.4242424242424244e-05,2.2701688555347093
160,0.667,0.6599999999999998,0.6641999999999999,,,2.420262664165103
180,0.642,0.6399999999999999,0.6412,,,2.720450281425891
200,,,,2.1986,3.232323232323232e-05,3.0300187617260788
200,0.642,0.6549999999999998,0.6472,,,3.0300187617260788
220,0.637,0.6474999999999999,0.6412,,,3.3302063789868668
240,0.657,0.6499999999999999,0.6541999999999999,,,3.630393996247655
250,,,,2.0376,4.040404040404041e-05,3.7804878048780486
260,0.65,0.6499999999999999,0.6499999999999999,,,3.930581613508443
280,0.63,0.6424999999999998,0.635,,,4.24015009380863
300,,,,1.9892,4.848484848484849e-05,4.5403377110694185
300,0.665,0.6449999999999999,0.657,,,4.5403377110694185
320,0.645,0.6424999999999998,0.6439999999999999,,,4.840525328330206
340,0.69,0.6574999999999999,0.6769999999999999,,,5.150093808630394
350,,,,1.953,5.656565656565657e-05,5.300187617260788
360,0.625,0.6524999999999999,0.6359999999999999,,,5.450281425891182
380,0.62,0.6549999999999998,0.6339999999999999,,,5.75046904315197
400,,,,1.9033,6.464646464646465e-05,6.0600375234521575
400,0.795,0.6474999999999999,0.736,,,6.0600375234521575
420,0.67,0.6399999999999999,0.6579999999999999,,,6.360225140712946
440,0.62,0.6599999999999998,0.6359999999999999,,,6.6604127579737336
450,,,,1.8187,7.272727272727273e-05,6.810506566604127
460,0.83,0.6549999999999998,0.7599999999999999,,,6.960600375234522
480,0.825,0.6649999999999998,0.7609999999999999,,,7.270168855534709
500,,,,1.8064,7.999776224367661e-05,7.570356472795497
500,0.78,0.6599999999999998,0.732,,,7.570356472795497
520,0.8,0.6749999999999998,0.75,,,7.870544090056285
540,0.85,0.6549999999999998,0.772,,,8.180112570356473
550,,,,1.769,7.972953430967773e-05,8.330206378986867
560,0.835,0.6499999999999999,0.7609999999999999,,,8.48030018761726
580,0.805,0.6449999999999999,0.7409999999999999,,,8.78048780487805
600,,,,1.7365,7.90171914754163e-05,9.090056285178237
600,0.825,0.6499999999999999,0.7549999999999999,,,9.090056285178237
620,0.785,0.6424999999999998,0.728,,,9.390243902439025
640,0.77,0.6599999999999998,0.726,,,9.690431519699812
650,,,,1.6468,7.786869663480203e-05,9.840525328330207
660,0.77,0.6599999999999998,0.726,,,9.9906191369606
680,0.775,0.6599999999999998,0.7289999999999999,,,10.300187617260788
700,,,,1.6424,7.629688818829578e-05,10.600375234521575
700,0.795,0.6549999999999998,0.7389999999999999,,,10.600375234521575
720,0.83,0.6549999999999998,0.7599999999999999,,,10.900562851782365
740,0.78,0.6624999999999999,0.7329999999999999,,,11.210131332082552
750,,,,1.5997,7.431933652939909e-05,11.360225140712945
760,0.79,0.6574999999999999,0.7369999999999999,,,11.51031894934334
780,0.805,0.6474999999999999,0.742,,,11.810506566604127
800,,,,1.5654,7.195814763476165e-05,12.120075046904315
800,0.805,0.6474999999999999,0.742,,,12.120075046904315
820,0.8,0.6449999999999999,0.738,,,12.420262664165103
840,0.79,0.6349999999999999,0.728,,,12.720450281425892
850,,,,1.4966,6.923971595346687e-05,12.870544090056285
860,0.76,0.6449999999999999,0.714,,,13.03001876172608
880,0.77,0.6649999999999998,0.728,,,13.330206378986867
900,,,,1.4784,6.619442935781141e-05,13.630393996247655
900,0.8058179650238473,0.6462147716229347,0.7419766876634823,,,13.630393996247655
920,0.78,0.6474999999999999,0.7269999999999999,,,13.930581613508442
940,0.7957412545235223,0.6360170870626525,0.7318515875391743,,,14.24015009380863
950,,,,1.4396,6.28563294537743e-05,14.390243902439025
960,0.8,0.6449999999999999,0.738,,,14.540337711069418
980,0.8,0.6449999999999999,0.738,,,14.840525328330207
1000,,,,1.4148,5.926273104838026e-05,15.150093808630395
1000,0.8107758620689656,0.653611111111111,0.7479099616858238,,,15.150093808630395
1020,0.7708298969072165,0.6387422360248446,0.7179948325542678,,,15.450281425891182
