
Checking checkpoint status...
2025-02-04 18:06:47,816 - WARNING - Checkpoint directory exists but no checkpoints found.
2025-02-04 18:06:47,816 - INFO - Continuing with training...
{'loss': 5.2168, 'grad_norm': 22.839014053344727, 'learning_rate': 5.050505050505051e-06, 'epoch': 0.08}
{'loss': 5.1863, 'grad_norm': 26.57324981689453, 'learning_rate': 1.0101010101010101e-05, 'epoch': 0.15}
{'loss': 5.0483, 'grad_norm': 18.661489486694336, 'learning_rate': 1.5151515151515153e-05, 'epoch': 0.23}
{'loss': 4.8684, 'grad_norm': 20.66554069519043, 'learning_rate': 2.0202020202020203e-05, 'epoch': 0.3}
{'loss': 4.4297, 'grad_norm': 7.778426170349121, 'learning_rate': 2.5252525252525256e-05, 'epoch': 0.38}
{'loss': 3.8902, 'grad_norm': 7.029818058013916, 'learning_rate': 3.0303030303030306e-05, 'epoch': 0.45}
{'loss': 3.2613, 'grad_norm': 1.735948920249939, 'learning_rate': 3.535353535353535e-05, 'epoch': 0.53}
{'loss': 2.9321, 'grad_norm': 1.5620161294937134, 'learning_rate': 4.0404040404040405e-05, 'epoch': 0.6}
{'loss': 2.6747, 'grad_norm': 1.3789511919021606, 'learning_rate': 4.545454545454546e-05, 'epoch': 0.68}
{'loss': 2.4518, 'grad_norm': 1.2176296710968018, 'learning_rate': 5.050505050505051e-05, 'epoch': 0.76}
{'eval_loss': 11.902316093444824, 'eval_perplexity': 147608.109375, 'eval_runtime': 21.1045, 'eval_samples_per_second': 2.369, 'eval_steps_per_second': 1.185, 'epoch': 0.76}
{'loss': 2.3248, 'grad_norm': 1.1876776218414307, 'learning_rate': 5.555555555555556e-05, 'epoch': 0.83}
{'loss': 2.2513, 'grad_norm': 1.2616337537765503, 'learning_rate': 6.060606060606061e-05, 'epoch': 0.91}
{'loss': 2.1841, 'grad_norm': 1.2802422046661377, 'learning_rate': 6.565656565656566e-05, 'epoch': 0.98}
{'loss': 2.1209, 'grad_norm': 1.3468912839889526, 'learning_rate': 7.07070707070707e-05, 'epoch': 1.05}
{'loss': 2.0891, 'grad_norm': 1.3129953145980835, 'learning_rate': 7.575757575757576e-05, 'epoch': 1.13}
{'loss': 2.0718, 'grad_norm': 1.23537278175354, 'learning_rate': 8.080808080808081e-05, 'epoch': 1.2}
{'loss': 2.0648, 'grad_norm': 1.4666646718978882, 'learning_rate': 8.585858585858586e-05, 'epoch': 1.28}
{'loss': 2.0261, 'grad_norm': 1.4125761985778809, 'learning_rate': 9.090909090909092e-05, 'epoch': 1.36}
{'loss': 2.0136, 'grad_norm': 1.378096342086792, 'learning_rate': 9.595959595959596e-05, 'epoch': 1.43}
{'loss': 1.9984, 'grad_norm': 1.499813199043274, 'learning_rate': 0.00010101010101010102, 'epoch': 1.51}
{'eval_loss': 12.686365127563477, 'eval_perplexity': 323309.4375, 'eval_runtime': 21.5, 'eval_samples_per_second': 2.326, 'eval_steps_per_second': 1.163, 'epoch': 1.51}
{'loss': 1.9856, 'grad_norm': 1.38109290599823, 'learning_rate': 0.00010606060606060606, 'epoch': 1.58}
